工作,時薪(下限),時薪上限,條件限制,額外補貼,備注,時間要求,賺到一百萬時間(下限),賺到一百萬時間(上限)
7-11(非大夜),190,195.0,,,,排班,5263.1578947368425,5128.205128205128
7-11(大夜),220,230.0,晝夜顛倒,,,排班,4545.454545454545,4347.826086956522
校內工讀(以清大為例),190,,,,,固定,5263.1578947368425,
社群小編,190,210.0,,,,彈性,5263.1578947368425,4761.9047619047615
麥當勞,190,,,,,排班,5263.1578947368425,
麥當勞(半夜後),243,,晝夜顛倒,,,排班,4115.22633744856,
肯德基,190,,,外送一趟10-14元,,排班,5263.1578947368425,
壽司郎,190,220.0,,,嘉義,排班,5263.1578947368425,4545.454545454545
壽司郎,210,240.0,,,新北,排班,4761.9047619047615,4166.666666666667
爭鮮,199,209.0,,,,排班,5025.125628140703,4784.688995215311
家樂福,190,195.0,,,,排班,5263.1578947368425,5128.205128205128
愛買,190,,,,,排班,5263.1578947368425,
大潤發,192,,,,,排班,5208.333333333333,
大潤發(大夜),200,220.0,,,,排班,5000.0,4545.454545454545
寶雅(南部),190,,,,,排班,5263.1578947368425,
寶雅(北部),194,,,,,排班,5154.639175257732,
蝦皮 理貨,190,200.0,,,,排班,5263.1578947368425,5000.0
蝦皮理貨(大夜),210,220.0,晝夜顛倒,,,排班,4761.9047619047615,4545.454545454545
momo電商,190,,,,,排班,5263.1578947368425,
全聯,195,,,,,排班,5128.205128205128,
達美樂,192,204.0,,外送10/1趟,,排班,5208.333333333333,4901.9607843137255
必勝客,190,195.0,,外送10-14/趟 通過每站考核時新+2,,排班,5263.1578947368425,5128.205128205128
拿坡里/三商巧福/福聖亭,190,200.0,,,,排班,5263.1578947368425,5000.0
八方雲集,190,,,,,排班,5263.1578947368425,
四海遊龍,190,,,,,排班,5263.1578947368425,
饗食天堂/果然匯,210,230.0,,,,排班,4761.9047619047615,4347.826086956522
陶板屋/石二鍋/西堤,200,210.0,,,,排班,5000.0,4761.9047619047615
家教(以二手拍),350-800(取決於對象),,,,,固定,,
補習班 行政工讀,200,,,,,固定,5000.0,
補習班老師,500-1200,800.0,,(取決於班上人數) 通常落在800,,固定,,1250.0
星巴克,190,226.0,,,,排班,5263.1578947368425,4424.778761061947
路易莎,190,233.0,,,,排班,5263.1578947368425,4291.845493562232
文字編輯,190,200.0,,,,固定,5263.1578947368425,5000.0
遊戲陪玩,300,500.0,受年齡、性別、遊戲等因素影響,,,固定,3333.3333333333335,2000.0
寵物陪玩,250,600.0,寵物無過敏、可能需要照顧經驗,,,固定,4000.0,1666.6666666666667
影音剪輯,200,,需有相關技術,,,取決於工作內容,5000.0,
傳單派發,190,200.0,,,,排班,5263.1578947368425,5000.0
電話問卷訪問員,190,230.0,,,,固定,5263.1578947368425,4347.826086956522
實地問卷面談訪問員,120/一件,,,,,彈性,,
兼職銷售,190(假日 230),,,,,排班,,
酷聖石,190,240.0,,,,排班,5263.1578947368425,4166.666666666667
unuqlo,200,215.0,,,,排班,5000.0,4651.162790697675
H&M,200,210.0,,,,排班,5000.0,4761.9047619047615
愛迪達,190,205.0,,,,排班,5263.1578947368425,4878.048780487805
Nike,190,,,,,排班,5263.1578947368425,
傳單派發,190,,,,,排班,5263.1578947368425,
早安美之城,190,195.0,早起,,,排班,5263.1578947368425,5128.205128205128
永和豆漿大王,190,,,,,排班,5263.1578947368425,
50嵐,190,195.0,,,,排班,5263.1578947368425,5128.205128205128
茶湯會,190,,,,,排班,5263.1578947368425,
迷客夏,190,200.0,,,,排班,5263.1578947368425,5000.0
神秘客,190,200.0,,,,彈性,5263.1578947368425,5000.0
資訊助理,190,200.0,相關資訊技術,,,固定,5263.1578947368425,5000.0
家教細項,,,,,,,,
美術家教,國中以下400 上下 高中以上800上下,,,,,固定,2500.0,1250.0
鋼琴家教,小學一二年級 500 高年級以上800,,,,,固定,2000.0,1250.0
吉他家教,700上下,,,,,固定,,
伴讀,國中650上下 國小450上下,,,,,固定,2222.222222222222,1538.4615384615386
游泳家教/羽球家教,600,,,,,固定,1666.6666666666667,
英文家教,600,,,,,固定,1666.6666666666667,
日文家教,750,,,,,固定,1333.3333333333333,
韓文家教,650,,,,,固定,1538.4615384615386,
程式語言,850,,,,,固定,1176.4705882352941,
數理家教,國小約450上下 國高中750上下,,,,,固定,2222.222222222222,1333.3333333333333
微積分家教,850,,,,,固定,1176.4705882352941,
舞蹈家教,600,,,,,固定,1666.6666666666667,
Uber eat外送,224,270.0,要跑滿一定時數才能滿足這個理論值 要有車,,,彈性,4464.285714285715,3703.703703703704
熊貓,200,250.0,要有車,,,彈性,5000.0,4000.0
ok mart,190,,,,,,5263.157895,
ok mart(晚班),205,,,,,,4878.04878,
屈臣氏,190,200,,,,,5263.157895,5000
康是美,190,245,,245為晚班津貼55(只有10-11點),,,5263.157895,4081.632653
大樹藥局,190,,,,,,5263.157895,
貳樓(高雄),195,220,,,,,5128.205128,4545.454545
貳樓(台北),210,230,,,,,4761.904762,4347.826087
新馬辣,220,240,,(基本公式為基本時薪190加上獎金),,打烊時新260,4545.454545,4166.666667
哈根達斯,190,,,,,,5263.157895,
beard's papa,195,,,,,,5128.205128,
mister donut,190,,,,,,5263.157895,
麵包店(無特定連鎖店),190,,,,,,5263.157895,
一風堂(台南),195,250,,時薪:當月工作時數達標提高，通過工作站考核提高,,,5128.205128,4000
一風堂(北部),205,280,,,,,4878.04878,3571.428571
診所工讀,190,,,,,,5263.157895,
乾杯,190,270,,(隨資歷提升),,,5263.157895,3703.703704
丸龜製麵,206,255,,隨考核提升,,,4854.368932,3921.568627
龜記,190,,,,,,5263.157895,
海底撈,190,270,,隨各地區差異極大,,,5263.157895,3703.703704
瓦城(外場服務員),190,230,,(時數達標 加時薪),,,5263.157895,4347.826087
瓦城(作業員),200,230,,(早班/晚班 要製作食物搬貨),,,5000,4347.826087
鼎泰豐(餐飲人員),225,255,,(平日/假日),,,4444.444444,3921.568627
燦坤,190,,,,,,5263.157895,

